Column1,timestamp8601,@message,cf_app_name,level,Warning,Others
8399,"June 17th 2020, 13:27:54.783",Warning       Dell.SupportOnline.ServiceStore.Core.Processors.ServiceStoreProcessor[0]      Service not available for FXH0PQ2,servicestore-web,warn,       Dell.SupportOnline.ServiceStore.Core.Processors.ServiceStoreProcessor[0],
8400,"June 17th 2020, 13:27:54.700",\x1b[40m\x1b[1m\x1b[33mwarn\x1b[39m\x1b[22m\x1b[49m: Dell.Support.Online.Client.Web.Helper.LoggerHelper[0],Support-Client,warn, Dell.Support.Online.Client.Web.Helper.LoggerHelper[0],
8401,"June 17th 2020, 13:27:54.697",\x1b[40m\x1b[1m\x1b[33mwarn\x1b[39m\x1b[22m\x1b[49m: Dell.Support.Online.Client.Web.Helper.LoggerHelper[0],Support-Client,warn, Dell.Support.Online.Client.Web.Helper.LoggerHelper[0],
8407,"June 17th 2020, 13:27:54.494",\x1b[40m\x1b[1m\x1b[33mwarn\x1b[39m\x1b[22m\x1b[49m: Dell.Support.Online.Client.Web.Helper.LoggerHelper[0],Support-Client,warn, Dell.Support.Online.Client.Web.Helper.LoggerHelper[0],
8410,"June 17th 2020, 13:27:54.423",\x1b[40m\x1b[1m\x1b[33mwarn\x1b[39m\x1b[22m\x1b[49m: Dell.Support.Online.Client.Web.Helper.LoggerHelper[0],Support-Client,warn, Dell.Support.Online.Client.Web.Helper.LoggerHelper[0],
8468,"June 17th 2020, 13:27:54.076",\x1b[40m\x1b[1m\x1b[33mwarn\x1b[39m\x1b[22m\x1b[49m: Dell.Support.Online.Client.Web.Helper.LoggerHelper[0],Support-Client,warn, Dell.Support.Online.Client.Web.Helper.LoggerHelper[0],
8471,"June 17th 2020, 13:27:54.076",\x1b[40m\x1b[1m\x1b[33mwarn\x1b[39m\x1b[22m\x1b[49m: Dell.Support.Online.Client.Web.Helper.LoggerHelper[0],Support-Client,warn, Dell.Support.Online.Client.Web.Helper.LoggerHelper[0],
8472,"June 17th 2020, 13:27:54.076",\x1b[40m\x1b[1m\x1b[33mwarn\x1b[39m\x1b[22m\x1b[49m: Dell.Support.Online.Client.Web.Helper.LoggerHelper[0],Support-Client,warn, Dell.Support.Online.Client.Web.Helper.LoggerHelper[0],
8476,"June 17th 2020, 13:27:54.076",\x1b[40m\x1b[1m\x1b[33mwarn\x1b[39m\x1b[22m\x1b[49m: Dell.Support.Online.Client.Web.Helper.LoggerHelper[0],Support-Client,warn, Dell.Support.Online.Client.Web.Helper.LoggerHelper[0],
8477,"June 17th 2020, 13:27:54.076",\x1b[40m\x1b[1m\x1b[33mwarn\x1b[39m\x1b[22m\x1b[49m: Dell.Support.Online.Client.Web.Helper.LoggerHelper[0],Support-Client,warn, Dell.Support.Online.Client.Web.Helper.LoggerHelper[0],
8478,"June 17th 2020, 13:27:54.076",\x1b[40m\x1b[1m\x1b[33mwarn\x1b[39m\x1b[22m\x1b[49m: Dell.Support.Online.Client.Web.Helper.LoggerHelper[0],Support-Client,warn, Dell.Support.Online.Client.Web.Helper.LoggerHelper[0],
8488,"June 17th 2020, 13:27:53.996",\x1b[40m\x1b[1m\x1b[33mwarn\x1b[39m\x1b[22m\x1b[49m: Dell.Support.Online.Client.Web.Helper.LoggerHelper[0],Support-Client,warn, Dell.Support.Online.Client.Web.Helper.LoggerHelper[0],
8515,"June 17th 2020, 13:27:53.857",\x1b[40m\x1b[1m\x1b[33mwarn\x1b[39m\x1b[22m\x1b[49m: Dell.Support.Online.Client.Web.Helper.LoggerHelper[0],Support-Client,warn, Dell.Support.Online.Client.Web.Helper.LoggerHelper[0],
8517,"June 17th 2020, 13:27:53.841",\x1b[40m\x1b[1m\x1b[33mwarn\x1b[39m\x1b[22m\x1b[49m: Dell.Support.Online.Client.Web.Helper.LoggerHelper[0],Support-Client,warn, Dell.Support.Online.Client.Web.Helper.LoggerHelper[0],
8519,"June 17th 2020, 13:27:53.839",\x1b[40m\x1b[1m\x1b[33mwarn\x1b[39m\x1b[22m\x1b[49m: Dell.Support.Online.Client.Web.Helper.LoggerHelper[0],Support-Client,warn, Dell.Support.Online.Client.Web.Helper.LoggerHelper[0],
8529,"June 17th 2020, 13:27:53.824",\x1b[40m\x1b[1m\x1b[33mwarn\x1b[39m\x1b[22m\x1b[49m: Dell.Support.Online.Client.Web.Helper.LoggerHelper[0],Support-Client,warn, Dell.Support.Online.Client.Web.Helper.LoggerHelper[0],
8538,"June 17th 2020, 13:27:53.784",\x1b[40m\x1b[1m\x1b[33mwarn\x1b[39m\x1b[22m\x1b[49m: Dell.Support.Online.Client.Web.Helper.LoggerHelper[0],Support-Client,warn, Dell.Support.Online.Client.Web.Helper.LoggerHelper[0],
8540,"June 17th 2020, 13:27:53.783",\x1b[40m\x1b[1m\x1b[33mwarn\x1b[39m\x1b[22m\x1b[49m: Dell.Support.Online.Client.Web.Helper.LoggerHelper[0],Support-Client,warn, Dell.Support.Online.Client.Web.Helper.LoggerHelper[0],
8541,"June 17th 2020, 13:27:53.778",\x1b[40m\x1b[1m\x1b[33mwarn\x1b[39m\x1b[22m\x1b[49m: Dell.Support.Online.Client.Web.Helper.LoggerHelper[0],Support-Client,warn, Dell.Support.Online.Client.Web.Helper.LoggerHelper[0],
8547,"June 17th 2020, 13:27:53.618",Warning       Dell.SupportOnline.ServiceStore.Core.Processors.ServiceStoreProcessor[0]      Service not available for 9XCBJ72,servicestore-web,warn,       Dell.SupportOnline.ServiceStore.Core.Processors.ServiceStoreProcessor[0],
8679,"June 17th 2020, 13:27:52.954",\x1b[40m\x1b[1m\x1b[33mwarn\x1b[39m\x1b[22m\x1b[49m: Dell.Support.Online.Client.Web.Helper.LoggerHelper[0],Support-Client,warn, Dell.Support.Online.Client.Web.Helper.LoggerHelper[0],
8681,"June 17th 2020, 13:27:52.954",\x1b[40m\x1b[1m\x1b[33mwarn\x1b[39m\x1b[22m\x1b[49m: Dell.Support.Online.Client.Web.Helper.LoggerHelper[0],Support-Client,warn, Dell.Support.Online.Client.Web.Helper.LoggerHelper[0],
8682,"June 17th 2020, 13:27:52.945",\x1b[40m\x1b[1m\x1b[33mwarn\x1b[39m\x1b[22m\x1b[49m: Dell.Support.Online.Client.Web.Helper.LoggerHelper[0],Support-Client,warn, Dell.Support.Online.Client.Web.Helper.LoggerHelper[0],
8686,"June 17th 2020, 13:27:52.942",\x1b[40m\x1b[1m\x1b[33mwarn\x1b[39m\x1b[22m\x1b[49m: Dell.Support.Online.Client.Web.Helper.LoggerHelper[0],Support-Client,warn, Dell.Support.Online.Client.Web.Helper.LoggerHelper[0],
8688,"June 17th 2020, 13:27:52.942",\x1b[40m\x1b[1m\x1b[33mwarn\x1b[39m\x1b[22m\x1b[49m: Dell.Support.Online.Client.Web.Helper.LoggerHelper[0],Support-Client,warn, Dell.Support.Online.Client.Web.Helper.LoggerHelper[0],
8689,"June 17th 2020, 13:27:52.941",\x1b[40m\x1b[1m\x1b[33mwarn\x1b[39m\x1b[22m\x1b[49m: Dell.Support.Online.Client.Web.Helper.LoggerHelper[0],Support-Client,warn, Dell.Support.Online.Client.Web.Helper.LoggerHelper[0],
8692,"June 17th 2020, 13:27:52.931",\x1b[40m\x1b[1m\x1b[33mwarn\x1b[39m\x1b[22m\x1b[49m: Dell.Support.Online.Client.Web.Helper.LoggerHelper[0],Support-Client,warn, Dell.Support.Online.Client.Web.Helper.LoggerHelper[0],
8695,"June 17th 2020, 13:27:52.929",\x1b[40m\x1b[1m\x1b[33mwarn\x1b[39m\x1b[22m\x1b[49m: Dell.Support.Online.Client.Web.Helper.LoggerHelper[0],Support-Client,warn, Dell.Support.Online.Client.Web.Helper.LoggerHelper[0],
8701,"June 17th 2020, 13:27:52.745",\x1b[40m\x1b[1m\x1b[33mwarn\x1b[39m\x1b[22m\x1b[49m: Dell.Support.Online.Client.Web.Helper.LoggerHelper[0],Support-Client,warn, Dell.Support.Online.Client.Web.Helper.LoggerHelper[0],
